Language_ID,Role,Contributor
Tapetautu1,ContributorSoundEditingBy,Laura Wägerle
Tesmbolmelaklak,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Tesmbolmelaklak,ContributorRecordedBy1,Aviva Shimelman
Tesmbolmelaklak,ContributorSoundEditingBy,Laura Wägerle
Tesmbolusus,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Tesmbolusus,ContributorRecordedBy1,Aviva Shimelman
Tesmbolusus,ContributorSoundEditingBy,Laura Wägerle
Tiraxbakru,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Tiraxbakru,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Tiraxbakru,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Tiraxbethel,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Tiraxbethel,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Tiraxbethel,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Tiraxbotmelesnial,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Tiraxbotmelesnial,ContributorRecordedBy1,Aviva Shimelman
Tiraxbotmelesnial,ContributorSoundEditingBy,Laura Wägerle
Tiraxmae,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Tiraxmae,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Tiraxmae,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Tiraxolamb,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Tiraxolamb,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Tiraxolamb,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Tiraxorap,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Tiraxorap,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Tiraxorap,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Uliveolurtes,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uliveolurtes,ContributorRecordedBy1,Aviva Shimelman
Uliveolurtes,ContributorSoundEditingBy,Laura Wägerle
Uliveopelongk,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uliveopelongk,ContributorRecordedBy1,Aviva Shimelman
Uliveopelongk,ContributorSoundEditingBy,Laura Wägerle
Uliveopeskaros,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uliveopeskaros,ContributorRecordedBy1,Aviva Shimelman
Uliveopeskaros,ContributorSoundEditingBy,Laura Wägerle
Uliveopeskaros2,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uliveopeskaros2,ContributorRecordedBy1,Aviva Shimelman
Uliveopeskaros2,ContributorSoundEditingBy,Laura Wägerle
Unuabenuamor,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Unuabenuamor,ContributorRecordedBy1,Aviva Shimelman
Unuabenuamor,ContributorSoundEditingBy,Laura Wägerle
Unuambatumbo,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Unuambatumbo,ContributorRecordedBy1,Aviva Shimelman
Unuambatumbo,ContributorSoundEditingBy,Laura Wägerle
Unuanoferai,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Unuanoferai,ContributorRecordedBy1,Aviva Shimelman
Unuanoferai,ContributorSoundEditingBy,Laura Wägerle
Uripivdurpif,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uripivdurpif,ContributorRecordedBy1,Aviva Shimelman
Uripivdurpif,ContributorSoundEditingBy,Laura Wägerle
Uripivpotnambe,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uripivpotnambe,ContributorRecordedBy1,Aviva Shimelman
Uripivpotnambe,ContributorSoundEditingBy,Laura Wägerle
Uripivtautu,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uripivtautu,ContributorRecordedBy1,Aviva Shimelman
Uripivtautu,ContributorSoundEditingBy,Laura Wägerle
Uripivtautuvillage,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Uripivtautuvillage,ContributorRecordedBy1,Aviva Shimelman
Uripivtautuvillage,ContributorSoundEditingBy,Laura Wägerle
Vaobeetehul,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Vaobeetehul,ContributorRecordedBy1,Aviva Shimelman
Vaobeetehul,ContributorSoundEditingBy,Laura Wägerle
Vaocanada,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Vaocanada,ContributorRecordedBy1,Aviva Shimelman
Vaocanada,ContributorSoundEditingBy,Laura Wägerle
Vaopeteri,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Vaopeteri,ContributorRecordedBy1,Aviva Shimelman
Vaopeteri,ContributorSoundEditingBy,Laura Wägerle
Vaotorono,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Vaotorono,ContributorRecordedBy1,Aviva Shimelman
Vaotorono,ContributorSoundEditingBy,Laura Wägerle
Venentautealpalak,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Venentautealpalak,ContributorRecordedBy1,Aviva Shimelman
Venentautealpalak,ContributorSoundEditingBy,Laura Wägerle
Venentautebenenavet,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Venentautebenenavet,ContributorRecordedBy1,Aviva Shimelman
Venentautebenenavet,ContributorSoundEditingBy,Laura Wägerle
Venentautebenmara,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Venentautebenmara,ContributorRecordedBy1,Aviva Shimelman
Venentautebenmara,ContributorSoundEditingBy,Laura Wägerle
Venentautehamax,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Venentautehamax,ContributorRecordedBy1,Aviva Shimelman
Venentautehamax,ContributorSoundEditingBy,Laura Wägerle
Venentauteunmet,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Venentauteunmet,ContributorRecordedBy1,Aviva Shimelman
Venentauteunmet,ContributorSoundEditingBy,Laura Wägerle
Walabotku,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Walabotku,ContributorRecordedBy1,Aviva Shimelman
Walabotku,ContributorSoundEditingBy,Laura Wägerle
Walapetreros,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Walapetreros,ContributorRecordedBy1,Aviva Shimelman
Walapetreros,ContributorSoundEditingBy,Laura Wägerle
Walapreng,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Walapreng,ContributorRecordedBy1,Aviva Shimelman
Walapreng,ContributorSoundEditingBy,Laura Wägerle
Walaworprev,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Walaworprev,ContributorRecordedBy1,Aviva Shimelman
Walaworprev,ContributorSoundEditingBy,Laura Wägerle
Wowolesarmalas,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Wowolesarmalas,ContributorRecordedBy1,Aviva Shimelman
Wowolesarmalas,ContributorSoundEditingBy,Laura Wägerle
Wowowowo,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Wowowowo,ContributorRecordedBy1,Aviva Shimelman
Wowowowo,ContributorSoundEditingBy,Laura Wägerle
Wwalaha,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Wwalaha,ContributorRecordedBy1,Tom Ennever
Wwalaha,ContributorRecordedBy2,Iveth Rodriguez
Wwalaha,ContributorSoundEditingBy,Iveth Rodriguez
Xolimbwenelang,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Xolimbwenelang,ContributorRecordedBy1,Aviva Shimelman
Xolimbwenelang,ContributorSoundEditingBy,Laura Wägerle
Ragalolkasai,ContrbutorPhoneticTranscriptionBy,Lana Takau
Ragalolkasai,ContrbutorRecordedBy,Marie-France Duhamel
Ragalolkasai,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Ragaloltongbay,ContrbutorPhoneticTranscriptionBy,Lana Takau
Ragaloltongbay,ContrbutorRecordedBy,Marie-France Duhamel
Ragaloltongbay,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Safponof,ContrbutorPhoneticTranscriptionBy,Lana Takau
Safponof,ContrbutorRecordedBy,Tom Fitzpatrick
Safponof,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Safrangusuksu,ContrbutorPhoneticTranscriptionBy,Lana Takau
Safrangusuksu,ContrbutorRecordedBy,Tom Fitzpatrick
Safrangusuksu,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Sageneral,ContrbutorPhoneticTranscriptionBy,Lana Takau
Sageneral,ContrbutorRecordedBy,Tom Fitzpatrick
Sageneral,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Safyangtus,ContrbutorPhoneticTranscriptionBy,Lana Takau
Safyangtus,ContrbutorRecordedBy,Tom Fitzpatrick
Safyangtus,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Sapaangi,ContrbutorPhoneticTranscriptionBy,Lana Takau
Sapaangi,ContrbutorRecordedBy,Tom Fitzpatrick
Sapaangi,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Sabunlap,ContrbutorPhoneticTranscriptionBy,Lana Takau
Sabunlap,ContrbutorRecordedBy,Tom Fitzpatrick
Sabunlap,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Saranwas,ContrbutorPhoneticTranscriptionBy,Lana Takau
Saranwas,ContrbutorRecordedBy,Tom Fitzpatrick
Saranwas,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Sahaa,ContrbutorPhoneticTranscriptionBy,Lana Takau
Sahaa,ContrbutorRecordedBy,Tom Fitzpatrick
Sahaa,ContrbutorSoundEditingBy,Lana Takau and Daria Dermaku
Atchinmainland,ContrbutorRecordedBy,Lana Takau
Atchinmainland,ContrbutorPhoneticTranscriptionBy,Lana Takau
Atchinmainland,ContrbutorSoundEditingBy,Lana Takau
Markam,ContrbutorRecordedBy,Lana Takau
Markam,ContrbutorPhoneticTranscriptionBy,Lana Takau
Markam,ContrbutorSoundEditingBy,Lana Takau
