ID,phonetic_transcriptions,recording,sound_editing,Language_ID
Sxalangibaetora,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Sxalangibaetora
Tapemaraxusmae,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tapemaraxusmae
Tapetautu1,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tapetautu1
Tesmbolmelaklak,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tesmbolmelaklak
Tesmbolusus,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tesmbolusus
Tiraxbakru,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Tiraxbakru
Tiraxbethel,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Tiraxbethel
Tiraxbotmelesnial,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tiraxbotmelesnial
Tiraxmae,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Tiraxmae
Tiraxolamb,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Tiraxolamb
Tiraxorap,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Tiraxorap
Uliveolurtes,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uliveolurtes
Uliveopelongk,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uliveopelongk
Uliveopeskaros,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uliveopeskaros
Uliveopeskaros2,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uliveopeskaros2
Unuabenuamor,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Unuabenuamor
Unuambatumbo,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Unuambatumbo
Unuanoferai,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Unuanoferai
Uripivdurpif,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uripivdurpif
Uripivpotnambe,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uripivpotnambe
Uripivtautu,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uripivtautu
Uripivtautuvillage,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Uripivtautuvillage
Vaobeetehul,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Vaobeetehul
Vaocanada,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Vaocanada
Vaopeteri,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Vaopeteri
Vaotorono,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Vaotorono
Venentautealpalak,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Venentautealpalak
Venentautebenenavet,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Venentautebenenavet
Venentautebenmara,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Venentautebenmara
Venentautehamax,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Venentautehamax
Venentauteunmet,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Venentauteunmet
Walabotku,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Walabotku
Walapetreros,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Walapetreros
Walapreng,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Walapreng
Walaworprev,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Walaworprev
Wowolesarmalas,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Wowolesarmalas
Wowowowo,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Wowowowo
Wwalaha,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Wwalaha
Xolimbwenelang,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Xolimbwenelang
