ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,LongName,IsProto,Island
Vaopeteri,Vao: Peteri,vaoo1237,Vao,vao,Papunesia,-15.89887,167.3051,Austronesian,,False,Malekula
Vaotorono,Vao: Torono,vaoo1237,Vao,vao,Papunesia,-15.89986,167.30819,Austronesian,,False,Malekula
Venentautealpalak,VՑnen Taute: Alpalak,bign1238,Big Nambas,nmb,Papunesia,-15.99722,167.1825,Austronesian,,False,Malekula
Venentautebenenavet,VՑnen Taute: Benenavet,bign1238,Big Nambas,nmb,Papunesia,-16.02038,167.17671,Austronesian,,False,Malekula
Venentautebenmara,VՑnen Taute: Benmara,bign1238,Big Nambas,nmb,Papunesia,-16.05552,167.23261,Austronesian,,False,Malekula
Venentautehamax,VՑnen Taute: Hamax,bign1238,Big Nambas,nmb,Papunesia,-16.111,167.249,Austronesian,,False,Malekula
Venentauteunmet,VՑnen Taute: Unmet,bign1238,Big Nambas,nmb,Papunesia,-16.15371,167.26022,Austronesian,,False,Malekula
Vilakara,Vilakara,tasi1237,,,Papunesia,-16.813633,168.414450,Austronesian,,False,Epi
Votlo,Votlo,,,,Papunesia,-16.802050,168.279833,Austronesian,,False,Epi
Walabotku,Wala: Botku,wala1267,Wala-Rano,upv,Papunesia,-15.96841,167.29246,Austronesian,,False,Malekula
Walapetreros,Wala: Petreros,wala1267,Wala-Rano,upv,Papunesia,-15.97544,167.37627,Austronesian,,False,Malekula
Walapreng,Wala: Preng,wala1267,Wala-Rano,upv,Papunesia,-15.97342,167.37627,Austronesian,,False,Malekula
Walaworprev,Wala: Worprev,wala1267,Wala-Rano,upv,Papunesia,-15.97775,167.37656,Austronesian,,False,Malekula
Winsao,Winsao,navu1237,Navut,nsw,Papunesia,-15.237018,166.837332,Austronesian,,False,Santo
Wowolesarmalas,Wowo: Lesarmalas,vovo1238,Vovo,upv,Papunesia,-15.90733,167.17927,Austronesian,,False,Malekula
Wowowowo,Wowo: Wowo,vovo1238,Vovo,upv,Papunesia,-15.90224,167.18459,Austronesian,,False,Malekula
Wunaruu,Wunaruu,,,,,-15.245542,166.674275,Austronesian,,False,Santo
Wunawai,Wunawai,,,,,-15.082729,166.626724,Austronesian,,False,Santo
Wusi,Wusi,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.364736,166.657216,Austronesian,,False,Santo
Wwalaha,W: Walaha,wala1268,Walaha,nnd,Papunesia,-15.40071,167.701737,Austronesian,Ambae:  West:  Walaha,False,Ambae
Xolimbwenelang,Xoli (Mbwenelang),boin1237,Boinelang,,Papunesia,-16.34139,167.7425,Austronesian,,False,Malekula
